날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-06 24,서울 강남구 ,강남구,111261,0.004,0.4,0.029,0.027,64,31
2016-08-07 01,서울 강남구 ,강남구,111261,0.005,0.5,0.019,0.038,50,29
2016-08-07 02,서울 강남구 ,강남구,111261,0.005,0.5,0.012,0.041,43,28
2016-08-07 03,서울 강남구 ,강남구,111261,0.005,0.4,0.016,0.03,50,33
2016-08-07 04,서울 강남구 ,강남구,111261,0.005,0.5,0.014,0.028,73,31
2016-08-07 05,서울 강남구 ,강남구,111261,0.005,0.5,0.012,0.029,79,30
2016-08-07 06,서울 강남구 ,강남구,111261,0.006,0.5,0.009,0.03,44,27
2016-08-07 07,서울 강남구 ,강남구,111261,0.004,0.4,0.01,0.027,44,37
2016-08-07 08,서울 강남구 ,강남구,111261,0.005,0.4,0.014,0.027,42,31
2016-08-07 09,서울 강남구 ,강남구,111261,0.005,0.4,0.032,0.02,33,23
2016-08-07 10,서울 강남구 ,강남구,111261,0.004,0.4,0.032,0.027,30,25
2016-08-07 11,서울 강남구 ,강남구,111261,0.004,0.4,0.054,0.024,43,28
2016-08-07 12,서울 강남구 ,강남구,111261,0.005,0.3,0.075,0.014,39,29
2016-08-07 13,서울 강남구 ,강남구,111261,0.005,0.3,0.089,0.009,40,36
2016-08-07 14,서울 강남구 ,강남구,111261,0.004,0.4,0.099,0.013,41,35
2016-08-07 15,서울 강남구 ,강남구,111261,0.005,0.3,0.092,0.015,49,38
2016-08-07 16,서울 강남구 ,강남구,111261,0.005,0.3,0.073,0.016,33,27
2016-08-07 17,서울 강남구 ,강남구,111261,0.004,0.3,0.056,0.015,31,21
2016-08-07 18,서울 강남구 ,강남구,111261,0.005,0.3,0.047,0.015,24,16
2016-08-07 19,서울 강남구 ,강남구,111261,0.004,0.3,0.039,0.019,34,23
2016-08-07 20,서울 강남구 ,강남구,111261,0.004,0.3,0.028,0.021,40,32
2016-08-07 21,서울 강남구 ,강남구,111261,0.004,0.3,0.019,0.026,37,27
2016-08-07 22,서울 강남구 ,강남구,111261,0.004,0.3,0.016,0.025,38,28
2016-08-07 23,서울 강남구 ,강남구,111261,0.004,0.3,0.021,0.021,38,32
2016-08-07 24,서울 강남구 ,강남구,111261,0.004,0.3,0.016,0.026,36,22
2016-08-08 01,서울 강남구 ,강남구,111261,0.004,0.3,0.018,0.024,36,31
2016-08-08 02,서울 강남구 ,강남구,111261,0.004,0.4,0.011,0.031,32,29
2016-08-08 03,서울 강남구 ,강남구,111261,0.004,0.4,0.013,0.026,44,30
2016-08-08 04,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.029,43,30
2016-08-08 05,서울 강남구 ,강남구,111261,0.004,0.3,0.004,0.025,39,28
2016-08-08 06,서울 강남구 ,강남구,111261,0.003,0.3,0.006,0.023,36,24
2016-08-08 07,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.03,39,24
2016-08-08 08,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.031,37,27
2016-08-08 09,서울 강남구 ,강남구,111261,0.005,0.4,0.01,0.031,39,29
2016-08-08 10,서울 강남구 ,강남구,111261,0.004,0.5,0.022,0.03,33,21
2016-08-08 11,서울 강남구 ,강남구,111261,0.003,0.4,0.034,0.024,40,21
2016-08-08 12,서울 강남구 ,강남구,111261,0.004,0.4,0.049,0.019,45,33
2016-08-08 13,서울 강남구 ,강남구,111261,0.003,0.4,0.064,0.021,47,35
2016-08-08 14,서울 강남구 ,강남구,111261,0.003,0.4,0.069,0.03,49,27
2016-08-08 15,서울 강남구 ,강남구,111261,0.004,0.4,0.074,0.025,43,30
